,PWSID,MAILINGNAME,ADDRESS1,ADDRESS2,CITY,SYSTEMSTATE,ZIP,ZIPFOUR,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
2825,4504999,"ATLAS PEAT AND SOIL, INC","9621 STATE ROAD 7",,"BOYNTON BEACH",FL,33472,,26.533934,-80.206433,1,rooftop,9621,"S State Road 7",,,"Boynton Beach",FL,"Palm Beach County",33472,US,"Palm Beach (Public Domain Palm Beach County)"
2826,4505001,"PREWITT TRACTOR SHED","111 PONCE DE LEON AVE",,CLEWISTON,FL,33440,,26.754662,-80.935575,1,rooftop,111,"Ponce De Leon Ave",,,Clewiston,FL,"Hendry County",33440,US,Hendry
2827,4505002,"PELICAN LAKE WATER PLANT","101 PELICAN LAKE VILLAGE",,PAHOKEE,FL,33430,,26.812365,-80.611012,0.9,rooftop,101,"Pelican Lake Vlg",,,Pahokee,FL,"Palm Beach County",33476,US,"Palm Beach (Public Domain Palm Beach County)"
2828,4505005,"PBCWUD - LAKE REGION WTP - SYSTEM 11","P.O. BOX 16097",,"WEST PALM BEACH",FL,33416,,26.715844,-80.070249,0.5,place,16097,"PO Box",,,"West Palm Beach",FL,"Palm Beach County",33416,US,"TIGER/Line® dataset from the US Census Bureau"
2829,4505006,"SUGAR CANE GROWERS COOP OF FLORIDA","1500 GEORGE WEDGWORTH WAY",,"BELLE GLADE",FL,33430,,26.664344,-80.646127,0.88,nearest_rooftop_match,1520,"Wedgworth Rd",,,"Belle Glade",FL,"Palm Beach County",33430,US,"Palm Beach (Public Domain Palm Beach County)"
2830,4505008,"AMERIGROW RECYCLING","10320 W. ATLANTIC AVE",,"DELRAY BEACH",FL,33446,,26.453385,-80.21017,1,range_interpolation,10320,"W Atlantic Ave",,,"Delray Beach",FL,"Palm Beach County",33446,US,"TIGER/Line® dataset from the US Census Bureau"
2831,4505009,2500,"11616 W INDIANTOWN RD",,JUPITER,FL,33478,,26.942217,-80.217682,1,range_interpolation,11616,"W Indiantown Rd",,,Jupiter,FL,"Palm Beach County",33478,US,"TIGER/Line® dataset from the US Census Bureau"
2832,4505010,"HORIZON BAPTIST CHURCH","12965 ORANGE BLVD",,"WEST PALM BEACH",FL,33412,,26.780806,-80.245335,1,rooftop,12965,"Orange Blvd",,,"West Palm Beach",FL,"Palm Beach County",33412,US,"Palm Beach (Public Domain Palm Beach County)"
2833,4505012,"JUPITER SEVENTH DAY ADVENTIST CHURCH","17778 103RD TERRACE NORTH",,JUPITER,FL,33478,,26.93869,-80.195902,1,rooftop,17778,"103rd Ter N",,,Jupiter,FL,"Palm Beach County",33478,US,"Palm Beach (Public Domain Palm Beach County)"
2834,4505013,"JUPITER MOTOR COACH RV RESORT","11061 INDIANTOWN ROAD",,JUPITER,FL,33478,,26.942227,-80.219478,1,range_interpolation,11061,"W Indiantown Rd",,,Jupiter,FL,"Palm Beach County",33478,US,"TIGER/Line® dataset from the US Census Bureau"
2835,4505014,"SEM CHI/SUGAR FARMS","3000 ATLANTIC SUGAR MILL ROAD",,"BELLE GLADE",FL,33430,,26.666457,-80.457259,1,rooftop,3000,"Atlantic Sugar Mill Rd",,,"Belle Glade",FL,"Palm Beach County",33430,US,"Palm Beach (Public Domain Palm Beach County)"
2836,4505017,"PEMA LING RETREAT CENTER","18190 131ST TRAIL NORTH",,JUPITER,FL,33478,,26.944557,-80.239674,1,rooftop,18190,"131st Trl N",,,Jupiter,FL,"Palm Beach County",33478,US,"Palm Beach (Public Domain Palm Beach County)"
2837,4505018,"SEACOAST WEST","NORTHLAKE BLVD",,"PALM BEACH GARDENS",FL,33410,,26.808678,-80.100307,1,street_center,,"Northlake Blvd",,,"West Palm Beach",FL,"Palm Beach County",33410,US,"TIGER/Line® dataset from the US Census Bureau"
2838,4505019,"WPB SHOOTING SPORTS PARK WTP","11730 SEMINOLE PRATT WHITNEY ROAD",,LOXAHATCHEE,FL,33431,,26.850683,-80.288937,0.87,rooftop,11730,"Seminole Pratt Whitney Rd",,,"West Palm Beach",FL,"Palm Beach County",33412,US,"Palm Beach (Public Domain Palm Beach County)"
2839,4505020,"BUSCH WILDLIFE REFUGE","17855 ROCKY PINES ROAD",,JUPITER,FL,33478,,26.940388,-80.210284,1,rooftop,17855,"Rocky Pines Rd",,,Jupiter,FL,"Palm Beach County",33478,US,"Palm Beach (Public Domain Palm Beach County)"
